id_usuario;nome;cpf;email;tipo_conta;agencia;numero_conta;limite_especial;tipo_cartao;final_cartao;limite_cartao
1;Ricardo Santos;341.794.473-27;ricardo.santos@email.com;Poupanca;0004;73982-7;0.0;Débito;4473;0.0
2;Lucas Oliveira;194.483.346-92;lucas.oliveira@email.com;Universitária;0001;98157-6;0.0;Crédito Infinite;6198;5843.33
3;Lucas Souza;941.177.617-37;lucas.souza@email.com;Universitária;0004;13385-5;0.0;Crédito Platinum;5465;46868.44
4;Ricardo Almeida;678.614.202-24;ricardo.almeida@email.com;Poupanca;0007;35181-7;0.0;Crédito Platinum;1566;47856.89
5;Ricardo Oliveira;651.778.776-30;ricardo.oliveira@email.com;Poupanca;0007;85624-3;0.0;Débito;6440;0.0
6;Ricardo Santos;374.607.341-68;ricardo.santos@email.com;Corrente;0004;44700-4;1590.44;Crédito Platinum;2619;31448.39
7;Juliana Souza;754.102.601-81;juliana.souza@email.com;Universitária;0002;40458-5;0.0;Crédito Black;1775;42688.04
8;Ricardo Costa;897.343.538-10;ricardo.costa@email.com;Poupanca;0001;81487-2;0.0;Crédito Black;3060;23070.39
9;João Silva;175.795.773-22;joão.silva@email.com;Corrente;0009;81347-9;3794.62;Débito;9052;0.0
10;Patrícia Costa;565.227.916-45;patrícia.costa@email.com;Poupanca;0008;12877-5;0.0;Crédito Black;8384;19241.69
11;Maria Ferreira;557.826.997-57;maria.ferreira@email.com;Poupanca;0008;17239-5;0.0;Crédito Infinite;4116;40684.51
12;Juliana Souza;711.494.759-43;juliana.souza@email.com;Universitária;0007;56982-8;0.0;Crédito Black;6811;22493.95
13;João Ferreira;278.350.193-37;joão.ferreira@email.com;Poupanca;0001;94368-1;0.0;Crédito Infinite;9679;35187.65
14;Patrícia Nascimento;153.615.257-94;patrícia.nascimento@email.com;Corrente;0001;60001-9;1980.96;Crédito Infinite;7490;38037.11
15;João Nascimento;549.148.458-12;joão.nascimento@email.com;Corrente;0005;80768-4;2398.22;Crédito Infinite;1054;10626.19
16;Patrícia Silva;455.896.328-22;patrícia.silva@email.com;Corrente;0009;73713-8;838.94;Débito;4334;0.0
17;Ana Ferreira;258.870.357-89;ana.ferreira@email.com;Corrente;0002;47019-6;4013.68;Crédito Platinum;3117;41115.38
18;Lucas Silva;435.391.607-76;lucas.silva@email.com;Poupanca;0007;80901-9;0.0;Crédito Black;5179;40710.38
19;Maria Almeida;844.474.681-71;maria.almeida@email.com;Corrente;0004;66217-8;323.03;Débito;6302;0.0
20;Maria Ferreira;683.223.454-11;maria.ferreira@email.com;Corrente;0006;92978-3;3494.93;Crédito Platinum;1541;18251.04
21;Ricardo Oliveira;537.615.325-37;ricardo.oliveira@email.com;Universitária;0004;85770-8;0.0;Crédito Black;7216;25597.09
22;Patrícia Ferreira;244.746.442-67;patrícia.ferreira@email.com;Corrente;0010;77303-7;2957.23;Débito;9658;0.0
23;Maria Ferreira;661.464.391-14;maria.ferreira@email.com;Poupanca;0004;12195-4;0.0;Débito;5103;0.0
24;Fernando Pereira;981.906.904-60;fernando.pereira@email.com;Poupanca;0009;26388-1;0.0;Crédito Platinum;6082;10341.62
25;Carlos Ferreira;357.115.311-77;carlos.ferreira@email.com;Poupanca;0005;69433-4;0.0;Crédito Infinite;5135;6464.01
26;Juliana Costa;585.486.249-11;juliana.costa@email.com;Corrente;0009;34076-1;959.04;Crédito Infinite;8107;27134.05
27;Ana Almeida;180.567.919-59;ana.almeida@email.com;Corrente;0006;72077-3;4067.14;Débito;1557;0.0
28;Fernando Almeida;875.647.728-83;fernando.almeida@email.com;Universitária;0009;12756-0;0.0;Crédito Infinite;9309;30944.55
29;Ricardo Santos;369.766.614-82;ricardo.santos@email.com;Corrente;0008;78528-7;2821.36;Crédito Black;1808;47113.06
30;Fernando Silva;230.422.702-70;fernando.silva@email.com;Corrente;0001;20094-5;2438.16;Débito;7042;0.0
31;Patrícia Silva;785.320.902-39;patrícia.silva@email.com;Poupanca;0006;95667-0;0.0;Crédito Infinite;5524;37416.17
32;Lucas Santos;813.725.783-17;lucas.santos@email.com;Corrente;0003;40206-9;4157.33;Crédito Platinum;5448;1985.54
33;Juliana Almeida;394.434.436-34;juliana.almeida@email.com;Universitária;0009;88751-1;0.0;Débito;8088;0.0
34;Ana Oliveira;872.728.262-77;ana.oliveira@email.com;Poupanca;0009;18489-4;0.0;Crédito Platinum;9890;6368.07
35;Ana Santos;743.864.837-18;ana.santos@email.com;Corrente;0002;82795-4;2875.9;Crédito Infinite;1985;9385.44
36;Ana Pereira;577.762.676-19;ana.pereira@email.com;Universitária;0010;28547-9;0.0;Crédito Black;3108;12468.24
37;Lucas Oliveira;559.805.737-12;lucas.oliveira@email.com;Poupanca;0006;50673-1;0.0;Crédito Black;5451;24550.09
38;João Ferreira;998.106.142-95;joão.ferreira@email.com;Corrente;0003;34680-4;29.85;Crédito Black;3660;34761.77
39;Carlos Costa;260.528.825-14;carlos.costa@email.com;Universitária;0008;78140-7;0.0;Crédito Infinite;2425;49623.75
40;Ana Ferreira;765.961.164-29;ana.ferreira@email.com;Corrente;0002;89472-4;2195.56;Crédito Platinum;4712;6473.48
41;Ricardo Costa;520.721.403-65;ricardo.costa@email.com;Universitária;0004;37121-6;0.0;Crédito Platinum;7208;19460.9
42;Fernando Oliveira;905.677.405-50;fernando.oliveira@email.com;Poupanca;0003;39056-3;0.0;Débito;8146;0.0
43;João Oliveira;745.190.110-42;joão.oliveira@email.com;Poupanca;0003;57596-3;0.0;Crédito Platinum;1074;42227.96
44;Maria Almeida;214.262.603-87;maria.almeida@email.com;Poupanca;0008;85984-2;0.0;Crédito Infinite;8008;18071.84
45;Lucas Nascimento;423.651.974-80;lucas.nascimento@email.com;Corrente;0004;38933-3;4445.8;Crédito Platinum;1801;16724.81
46;Carlos Costa;177.289.401-55;carlos.costa@email.com;Poupanca;0009;37271-6;0.0;Crédito Infinite;3572;22081.25
47;Ana Nascimento;778.597.420-69;ana.nascimento@email.com;Universitária;0004;66838-3;0.0;Crédito Platinum;1053;23463.15
